Symbol,Industry
AMARAJABAT,AUTOMOBILE
ASHOKLEY,AUTOMOBILE
BAJAJ-AUTO,AUTOMOBILE
BALKRISIND,AUTOMOBILE
BHARATFORG,AUTOMOBILE
BOSCHLTD,AUTOMOBILE
EICHERMOT,AUTOMOBILE
EXIDEIND,AUTOMOBILE
HEROMOTOCO,AUTOMOBILE
MRF,AUTOMOBILE
M&M,AUTOMOBILE
MARUTI,AUTOMOBILE
TVSMOTOR,AUTOMOBILE
TATAMOTORS,AUTOMOBILE
TIINDIA,AUTOMOBILE
AMBER,CONSUMER GOODS
BATAINDIA,CONSUMER GOODS
BLUESTARCO,CONSUMER GOODS
CROMPTON,CONSUMER GOODS
DIXON,CONSUMER GOODS
HAVELLS,CONSUMER GOODS
KAJARIACER,CONSUMER GOODS
ORIENTELEC,CONSUMER GOODS
RAJESHEXPO,CONSUMER GOODS
RELAXO,CONSUMER GOODS
TTKPRESTIG,CONSUMER GOODS
TITAN,CONSUMER GOODS
VGUARD,CONSUMER GOODS
VOLTAS,CONSUMER GOODS
WHIRLPOOL,CONSUMER GOODS
AXISBANK,FINANCIAL SERVICES
BAJFINANCE,FINANCIAL SERVICES
BAJAJFINSV,FINANCIAL SERVICES
CHOLAFIN,FINANCIAL SERVICES
HDFCAMC,FINANCIAL SERVICES
HDFCBANK,FINANCIAL SERVICES
HDFCLIFE,FINANCIAL SERVICES
HDFC,FINANCIAL SERVICES
ICICIBANK,FINANCIAL SERVICES
ICICIGI,FINANCIAL SERVICES
ICICIPRULI,FINANCIAL SERVICES
KOTAKBANK,FINANCIAL SERVICES
M&MFIN,FINANCIAL SERVICES
MUTHOOTFIN,FINANCIAL SERVICES
PEL,FINANCIAL SERVICES
PFC,FINANCIAL SERVICES
RECLTD,FINANCIAL SERVICES
SBILIFE,FINANCIAL SERVICES
SRTRANSFIN,FINANCIAL SERVICES
SBIN,FINANCIAL SERVICES
BRITANNIA,FMCG
COLPAL,FMCG
DABUR,FMCG
EMAMILTD,FMCG
GODREJCP,FMCG
HINDUNILVR,FMCG
ITC,FMCG
MARICO,FMCG
NESTLEIND,FMCG
PGHH,FMCG
RADICO,FMCG
TATACONSUM,FMCG
UBL,FMCG
MCDOWELL-N,FMCG
VBL,FMCG
COFORGE,IT
HCLTECH,IT
INFY,IT
LTTS,IT
LTI,IT
MINDTREE,IT
MPHASIS,IT
TCS,IT
TECHM,IT
WIPRO,IT
DISHTV,MEDIA
HATHWAY,MEDIA
INOXLEISUR,MEDIA
NAZARA,MEDIA
NETWORK18,MEDIA
PVR,MEDIA
SAREGAMA,MEDIA
SUNTV,MEDIA
TV18BRDCST,MEDIA
ZEEL,MEDIA
APLAPOLLO,METAL
ADANIENT,METAL
COALINDIA,METAL
HINDALCO,METAL
HINDCOPPER,METAL
HINDZINC,METAL
JSWSTEEL,METAL
JINDALSTEL,METAL
NMDC,METAL
NATIONALUM,METAL
RATNAMANI,METAL
SAIL,METAL
TATASTEEL,METAL
VEDL,METAL
WELCORP,METAL
ATGL,OIL & GAS
BPCL,OIL & GAS
CASTROLIND,OIL & GAS
GAIL,OIL & GAS
GUJGASLTD,OIL & GAS
GSPL,OIL & GAS
HINDPETRO,OIL & GAS
IOC,OIL & GAS
IGL,OIL & GAS
MGL,OIL & GAS
MRPL,OIL & GAS
ONGC,OIL & GAS
OIL,OIL & GAS
PETRONET,OIL & GAS
RELIANCE,OIL & GAS
ABBOTINDIA,PHARMA
APLLTD,PHARMA
ALKEM,PHARMA
AUROPHARMA,PHARMA
BIOCON,PHARMA
CADILAHC,PHARMA
CIPLA,PHARMA
DIVISLAB,PHARMA
DRREDDY,PHARMA
GLAND,PHARMA
GLENMARK,PHARMA
GRANULES,PHARMA
IPCALAB,PHARMA
LAURUSLABS,PHARMA
LUPIN,PHARMA
NATCOPHARM,PHARMA
PFIZER,PHARMA
STAR,PHARMA
SUNPHARMA,PHARMA
TORNTPHARM,PHARMA
BRIGADE,REALTY
DLF,REALTY
GODREJPROP,REALTY
IBREALEST,REALTY
LODHA,REALTY
OBEROIRLTY,REALTY
PHOENIXLTD,REALTY
PRESTIGE,REALTY
SOBHA,REALTY
SUNTECK,REALTY
BANKBARODA,PSU BANK
BANKINDIA,PSU BANK
MAHABANK,PSU BANK
CANBK,PSU BANK
CENTRALBK,PSU BANK
INDIANB,PSU BANK
IOB,PSU BANK
J&KBANK,PSU BANK
PSB,PSU BANK
PNB,PSU BANK
SBIN,PSU BANK
UCOBANK,PSU BANK
UNIONBANK,PSU BANK
AXISBANK,PVT BANK
BANDHANBNK,PVT BANK
CUB,PVT BANK
FEDERALBNK,PVT BANK
HDFCBANK,PVT BANK
ICICIBANK,PVT BANK
IDFCFIRSTB,PVT BANK
INDUSINDBK,PVT BANK
KOTAKBANK,PVT BANK
RBLBANK,PVT BANK
