symbol,industry
bharatforg,auto
exideind,auto
balkrisind,auto
boschltd,auto
mrf,auto
maruti,auto
ashokley,auto
tvsmotor,auto
tatamotors,auto
bajaj-auto,auto
eichermot,auto
amarajabat,auto
heromotoco,auto
federalbnk,bank
rblbank,bank
bandhanbnk,bank
aubank,bank
pnb,bank
idfcfirstb,bank
icicibank,bank
sbin,bank
axisbank,bank
hdfcbank,bank
kotakbank,bank
indusindbk,bank
tataconsum,fmcg
vbl,fmcg
radico,fmcg
pghh,fmcg
mcdowell-n,fmcg
emamiltd,fmcg
marico,fmcg
colpal,fmcg
ubl,fmcg
itc,fmcg
godrejcp,fmcg
dabur,fmcg
britannia,fmcg
nestleind,fmcg
hindunilvr,fmcg
ltts,it
tcs,it
infy,it
techm,it
hcltech,it
coforge,it
lti,it
wipro,it
mphasis,it
mindtree,it
tvtoday,media
tv18brdcst,media
dbcorp,media
pvr,media
jagran,media
suntv,media
zeel,media
network18,media
inoxleisur,media
dishtv,media
welcorp,metal
aplapollo,metal
jindalstel,metal
hindcopper,metal
vedl,metal
adanient,metal
sail,metal
coalindia,metal
hindalco,metal
nationalum,metal
nmdc,metal
hindzinc,metal
tatasteel,metal
ratnamani,metal
jswsteel,metal
divislab,pharma
torntpharm,pharma
cipla,pharma
drreddy,pharma
sunpharma,pharma
lupin,pharma
cadilahc,pharma
alkem,pharma
auropharma,pharma
biocon,pharma
aegischem,oilandgas
ioc,oilandgas
bpcl,oilandgas
castrolind,oilandgas
hindpetro,oilandgas
reliance,oilandgas
atgl,oilandgas
mgl,oilandgas
petronet,oilandgas
igl,oilandgas
gail,oilandgas
oil,oilandgas
gujgasltd,oilandgas
ongc,oilandgas
gspl,oilandgas
m&m,auto
tiindia,auto
abbotindia,pharma
alembicltd,pharma
gland,pharma
glenmark,pharma
granules,pharma
ipcalab,pharma
lauruslabs,pharma
natcopharm,pharma
pfizer,pharma
star,pharma
